symbol,chain_id,direction,entry,stop_loss,tp1,rr,status,pnl_r,signal_time,entry_time,exit_time,exit_price,bars_in_trade
SOL/USDT,Signal_1,LONG,141.7062,138.872076,143.225,2.66,CLOSED_TP,2.66,2025-11-15 00:00,2025-11-15 01:45,2025-11-15 03:00,143.225,6
SOL/USDT,Signal_1,LONG,140.88279999999997,138.06514399999998,143.225,2.97,CANCELLED,0.0,2025-11-15 04:00,,2025-11-15 06:15,,0
SOL/USDT,Signal_1,LONG,140.88279999999997,138.06514399999998,143.225,2.97,CANCELLED,0.0,2025-11-15 04:30,,2025-11-15 06:15,,0
SOL/USDT,Signal_1,LONG,140.88279999999997,138.06514399999998,143.225,2.97,CANCELLED,0.0,2025-11-15 07:00,,2025-11-15 07:15,,0
SOL/USDT,Signal_1,LONG,140.88279999999997,138.06514399999998,143.225,2.97,CLOSED_TP,2.97,2025-11-15 09:30,2025-11-15 09:45,2025-11-15 17:15,143.225,31
SOL/USDT,Signal_1,LONG,140.88279999999997,138.06514399999998,143.225,2.97,CLOSED_TP,2.97,2025-11-15 12:00,2025-11-15 12:15,2025-11-15 17:15,143.225,21
SOL/USDT,Signal_1,LONG,140.88279999999997,138.06514399999998,143.225,2.97,CANCELLED,0.0,2025-11-15 17:15,,2025-11-15 17:30,,0
SOL/USDT,Signal_1,LONG,140.88279999999997,138.06514399999998,143.225,2.97,CLOSED_SL,-1.0,2025-11-15 19:30,2025-11-15 20:30,2025-11-16 01:30,138.06514399999998,21
SOL/USDT,Signal_1,LONG,140.88279999999997,138.06514399999998,143.225,2.97,CLOSED_TP,2.97,2025-11-15 22:00,2025-11-16 03:15,2025-11-16 09:45,143.225,27
SOL/USDT,Signal_1,LONG,140.88279999999997,138.06514399999998,143.065,2.97,CLOSED_TP,2.97,2025-11-16 01:30,2025-11-16 03:15,2025-11-16 09:45,143.065,27
SOL/USDT,Signal_1,LONG,140.88279999999997,138.06514399999998,143.065,2.97,CANCELLED,0.0,2025-11-16 09:45,,2025-11-16 10:00,,0
SOL/USDT,Signal_1,LONG,140.88279999999997,138.06514399999998,143.065,2.97,CANCELLED,0.0,2025-11-16 10:30,,2025-11-16 10:45,,0
SOL/USDT,Signal_1,LONG,140.88279999999997,138.06514399999998,143.225,2.97,CANCELLED,0.0,2025-11-16 13:00,,2025-11-17 01:45,,0
SOL/USDT,Signal_1,LONG,140.88279999999997,138.06514399999998,143.225,2.97,CANCELLED,0.0,2025-11-16 15:30,,2025-11-17 04:15,,0
SOL/USDT,Signal_1,LONG,136.311,133.58478,141.065,4.75,CANCELLED,0.0,2025-11-17 12:00,,2025-11-17 12:15,,0
SOL/USDT,Signal_1,LONG,136.311,133.58478,141.065,4.75,CANCELLED,0.0,2025-11-17 14:00,,2025-11-17 14:30,,0
SOL/USDT,2.6,LONG,134.505,132.99264285714287,136.4,1.51,CANCELLED,0.0,2025-11-18 09:00,,2025-11-18 09:15,,0
SOL/USDT,Signal_1,LONG,134.1998,131.515804,139.075,2.93,CANCELLED,0.0,2025-11-18 10:00,,2025-11-18 10:30,,0
SOL/USDT,Signal_1,LONG,134.1998,131.515804,139.075,2.93,CANCELLED,0.0,2025-11-18 12:30,,2025-11-18 14:15,,0
SOL/USDT,Signal_1,LONG,134.1998,131.515804,139.075,2.93,CANCELLED,0.0,2025-11-18 15:00,,2025-11-18 15:15,,0
SOL/USDT,Signal_1,LONG,134.1998,131.515804,139.075,2.93,CANCELLED,0.0,2025-11-18 20:00,,2025-11-18 20:15,,0
SOL/USDT,Signal_1,LONG,134.1998,131.515804,139.075,2.93,CANCELLED,0.0,2025-11-18 22:30,,2025-11-18 22:45,,0
SOL/USDT,Signal_1,LONG,134.1998,131.515804,139.075,2.93,CANCELLED,0.0,2025-11-19 01:00,,2025-11-19 01:15,,0
SOL/USDT,2.6,SHORT,140.28500000000003,141.91228571428573,138.97357142857143,1.61,CLOSED_SL,-1.0,2025-11-19 01:15,2025-11-19 01:45,2025-11-19 02:45,141.91228571428573,5
SOL/USDT,Signal_1,LONG,134.1998,131.515804,139.075,2.93,CANCELLED,0.0,2025-11-19 03:30,,2025-11-19 03:45,,0
